"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Survival_1","Area_2021","Area_cm_2021","log_2021","log10_2021","Note_2021","Note_2022"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_111","BA_S","Shallow","offshore","Pmas",-125,1,0.009027312,90.27312,4.50283974169051,1.95555845271085,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_112","BA_S","Shallow","offshore","Pmas",-125,1,0.01437113,143.7113,4.96780642604065,2.15749091799297,"pm","pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_113","BA_S","Shallow","offshore","Pmas",-125,1,0.007470278,74.70278,4.31351730697507,1.87333676401345,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_114","BA_S","Shallow","offshore","Gspp",-125,1,0.006052105,60.52105,4.10299123840614,1.78190645413717,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_115","BA_S","Shallow","offshore","Pmas",-125,1,0.007272724,72.72724,4.28671600486946,1.86169710640116,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_116","BA_S","Shallow","offshore","Pmas",-125,1,0.005274361,52.74361,3.96544262757769,1.72216985146092,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_117","BA_S","Shallow","offshore","Pmas",-125,1,0.005670431,56.70431,4.03785022195413,1.7536160701465,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_118","BA_S","Shallow","offshore","Pmas",-125,1,0.002733673,27.33673,3.30823121916816,1.4367465633448,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_119","BA_S","Shallow","offshore","Pmas",-125,1,0.004889022,48.89022,3.88957737647816,1.68922199154019,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_120","BA_S","Shallow","offshore","Spis",-125,1,0.008747129,87.47129,4.47131062523658,1.94186553141563,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_121","BA_S","Shallow","offshore","Adgt",-125,1,0.005475333,54.75333,4.00283818876484,1.73841053733218,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_122","BA_S","Shallow","offshore","Pmas",-125,1,0.001409475,14.09475,2.64580238762268,1.14905737715098,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_123","BA_S","Shallow","offshore","Spis",-125,1,0.002523166,25.23166,3.22809955517745,1.40194582384791,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_124","BA_S","Shallow","offshore","Pdam",-125,1,0.020249704,202.49704,5.31072526915581,2.30641867929853,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_125","BA_S","Shallow","offshore","Adgt",-125,1,0.020729998,207.29998,5.3341669229632,2.31659926019376,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_126","BA_S","Shallow","offshore","Spis",-125,1,0.001337631,13.37631,2.59348523191111,1.12633632511657,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_127","BA_S","Shallow","offshore","Pver",-125,1,0.01598704,159.8704,5.07436348700657,2.2037680615783,NA,NA
